,Store ID ,Store_Area,Items_Available,Daily_Customer_Count,Store_Sales
472,473,1430,1690,800,78950
224,225,1647,1962,800,70020
492,493,1491,1770,800,52610
111,112,1485,1787,800,62950
698,699,1655,1956,800,47350
793,794,1388,1672,800,73500
283,284,1390,1646,800,46840
392,393,1264,1502,800,79410
508,509,1496,1787,800,58070
140,141,1978,2374,800,48590
870,871,1487,1776,800,46230
530,531,1482,1777,800,77570
376,377,1496,1774,810,75490
856,857,1206,1460,810,41990
345,346,1954,2378,810,45820
558,559,1231,1472,810,70290
398,399,2063,2493,810,51480
421,422,1175,1405,810,91200
137,138,1581,1905,810,62280
106,107,1692,2031,810,69310
536,537,1192,1445,810,43470
136,137,1638,1972,810,60940
190,191,1391,1649,810,83750
675,676,1755,2072,810,69610
879,880,1792,2131,810,76420
758,759,1486,1758,820,101820
356,357,1798,2134,820,72050
877,878,1771,2138,820,57820
98,99,1785,2147,820,63660
373,374,1909,2306,820,31940
515,516,1735,2084,820,56440
25,26,1732,2073,820,70050
556,557,932,1138,820,89760
762,763,1197,1428,830,65410
90,91,1590,1912,830,65350
797,798,1536,1808,830,56380
148,149,1229,1480,830,38070
571,572,1834,2184,830,94460
598,599,1664,2016,830,59130
873,874,1209,1452,830,52050
324,325,1365,1645,830,60470
629,630,1887,2264,830,62050
621,622,1383,1687,830,81390
600,601,1433,1722,830,77080
861,862,1939,2333,830,40670
267,268,1701,2030,830,60140
419,420,1431,1710,840,74170
690,691,1191,1436,840,43520
554,555,1832,2185,840,87330
197,198,1504,1827,840,78230
776,777,1444,1742,840,56710
415,416,1462,1732,840,68260
741,742,1502,1802,840,49730
217,218,1525,1829,840,55820
216,217,1575,1899,840,66270
697,698,1421,1704,840,53840
434,435,1373,1635,840,61040
180,181,1612,1939,840,74250
650,651,1334,1584,840,57200
24,25,1234,1488,840,41880
892,893,1387,1663,850,82080
361,362,1219,1468,850,35600
859,860,1458,1757,850,58600
518,519,1520,1817,850,63600
549,550,869,1050,850,52540
70,71,1692,2019,850,56650
487,488,1323,1571,850,27970
87,88,1252,1506,850,39650
352,353,1397,1686,850,21300
777,778,1477,1798,850,59820
798,799,2019,2420,850,85670
818,819,1822,2160,860,49720
649,650,1989,2414,860,116320
118,119,1500,1798,860,56710
330,331,1060,1273,860,57500
391,392,1406,1680,860,60980
858,859,1152,1393,860,54380
261,262,913,1106,860,56610
734,735,1743,2061,860,81930
63,64,1310,1561,860,65920
742,743,1534,1858,860,88370
845,846,1419,1743,860,65970
477,478,1244,1480,860,93530
736,737,1098,1309,860,59530
168,169,1232,1487,860,49800
447,448,1768,2123,860,49590
382,383,1454,1737,870,23090
326,327,1458,1736,870,48550
829,830,1218,1452,870,43910
743,744,1418,1699,870,49160
593,594,1624,1946,870,20270
225,226,1829,2175,870,92240
694,695,1297,1529,870,52940
406,407,896,1059,870,75110
170,171,1343,1599,870,44910
45,46,1227,1471,870,49270
458,459,1332,1610,880,38890
503,504,1484,1774,880,45080
229,230,1350,1634,880,77120
32,33,1331,1608,880,60460
545,546,1185,1420,880,80370
450,451,1474,1759,880,75880
802,803,1200,1442,880,44320
