,Store ID ,Store_Area,Items_Available,Daily_Customer_Count,Store_Sales
537,538,1601,1920,600,61000
215,216,1604,1909,370,33730
254,255,1604,1925,670,54370
177,178,1605,1902,390,73120
653,654,1607,1933,930,81260
539,540,1607,1909,460,39030
113,114,1607,1927,940,45080
608,609,1608,1945,760,37830
817,818,1608,1962,770,36280
494,495,1609,1943,920,40300
705,706,1609,1924,1170,63050
826,827,1609,1928,160,37920
586,587,1609,1930,740,76470
470,471,1611,1919,960,71240
429,430,1612,1918,580,61000
180,181,1612,1939,840,74250
594,595,1612,1931,790,60060
405,406,1613,1893,1180,46030
156,157,1613,1921,1200,72800
546,547,1614,1938,1110,53230
309,310,1614,1946,740,73800
13,14,1615,1931,1160,59130
328,329,1615,1954,760,41080
699,700,1615,1928,660,65080
273,274,1617,1901,490,60770
461,462,1618,1940,630,44240
430,431,1618,1943,460,47620
333,334,1619,1957,1280,45580
599,600,1619,1947,910,74330
221,222,1620,1922,550,33740
523,524,1622,1968,340,69610
617,618,1622,1944,360,75970
538,539,1622,1968,210,64780
672,673,1624,1958,290,63850
593,594,1624,1946,870,20270
334,335,1624,1973,1440,44660
407,408,1625,1943,680,74520
179,180,1626,1941,1350,58090
516,517,1627,1948,890,32610
444,445,1628,1959,890,71480
274,275,1631,1967,1090,69600
713,714,1631,1947,670,84410
68,69,1631,1941,650,33430
331,332,1633,1968,330,81470
541,542,1633,1936,1320,46050
75,76,1635,1956,720,82070
680,681,1637,1958,760,59940
838,839,1638,1937,1050,70940
136,137,1638,1972,810,60940
342,343,1638,1952,690,81840
329,330,1640,1948,960,51270
732,733,1641,1999,950,93000
249,250,1641,1976,620,46050
532,533,1642,1981,720,54450
28,29,1642,1943,710,78100
15,16,1644,1950,790,78870
760,761,1645,1963,900,47300
695,696,1645,1958,530,93360
224,225,1647,1962,800,70020
256,257,1648,2003,910,82930
752,753,1648,2017,930,81720
867,868,1648,1959,370,77080
153,154,1649,1963,490,27410
835,836,1651,2009,1000,58160
194,195,1652,1982,690,52460
857,858,1653,1982,390,79410
698,699,1655,1956,800,47350
759,760,1655,1993,440,86890
886,887,1655,1986,1150,77430
245,246,1657,2003,1070,58540
212,213,1658,1988,370,71530
673,674,1658,2000,350,36210
733,734,1659,1999,650,65660
313,314,1659,2008,620,35120
0,1,1659,1961,530,66490
47,48,1660,1982,910,62530
751,752,1660,1979,480,75800
187,188,1660,1985,1180,42860
151,152,1662,1986,70,63730
598,599,1664,2016,830,59130
42,43,1665,2001,730,67640
189,190,1666,2000,480,39730
660,661,1667,2020,980,66070
135,136,1667,1993,740,42840
827,828,1671,2024,620,63100
481,482,1675,2002,1050,64990
612,613,1677,2014,660,60800
341,342,1678,1999,740,46650
510,511,1678,2022,1050,66050
809,810,1679,2008,790,84300
119,120,1682,2017,780,49390
671,672,1685,2010,990,62380
449,450,1685,2015,1160,79220
482,483,1688,2046,380,53550
141,142,1688,2042,760,73080
521,522,1688,2037,590,50960
396,397,1689,2044,1140,32260
605,606,1690,2065,910,51420
872,873,1690,2024,1070,75930
875,876,1691,2023,540,60270
379,380,1691,2026,700,60530
106,107,1692,2031,810,69310
70,71,1692,2019,850,56650
708,709,1693,2032,610,41910
227,228,1699,2053,1080,81870
528,529,1700,2064,940,70310
267,268,1701,2030,830,60140
578,579,1701,2034,660,62180
183,184,1702,2053,950,64670
208,209,1703,2055,1080,37830
17,18,1703,2045,670,38170
60,61,1704,2045,300,71300
178,179,1704,2032,590,48300
65,66,1707,2052,920,69130
427,428,1709,2042,430,33240
656,657,1709,2065,670,30610
