,Store ID ,Store_Area,Items_Available,Daily_Customer_Count,Store_Sales
594,595,1612,1931,790,60060
735,736,1449,1733,320,60060
267,268,1701,2030,830,60140
280,281,1270,1515,720,60240
875,876,1691,2023,540,60270
782,783,1073,1280,1240,60440
779,780,1226,1472,710,60440
32,33,1331,1608,880,60460
12,13,1746,2064,1050,60470
324,325,1365,1645,830,60470
379,380,1691,2026,700,60530
27,28,1390,1648,980,60530
714,715,1246,1482,1070,60680
273,274,1617,1901,490,60770
612,613,1677,2014,660,60800
136,137,1638,1972,810,60940
96,97,1853,2235,1120,60960
391,392,1406,1680,860,60980
537,538,1601,1920,600,61000
429,430,1612,1918,580,61000
434,435,1373,1635,840,61040
711,712,1360,1612,490,61080
126,127,1871,2241,500,61150
97,98,1816,2171,1160,61180
878,879,1205,1468,1210,61210
354,355,1433,1707,1160,61460
625,626,1411,1680,1070,61590
207,208,1406,1677,480,61660
318,319,1332,1586,630,61670
630,631,1505,1836,940,61730
251,252,1550,1845,700,61750
433,434,1249,1503,950,61970
700,701,1872,2262,560,62050
629,630,1887,2264,830,62050
578,579,1701,2034,660,62180
353,354,1445,1709,1340,62180
198,199,1524,1808,460,62270
137,138,1581,1905,810,62280
724,725,1493,1795,530,62380
671,672,1685,2010,990,62380
756,757,1250,1506,990,62420
255,256,1439,1735,400,62470
47,48,1660,1982,910,62530
323,324,1771,2147,430,62710
517,518,1351,1616,650,62770
220,221,1442,1742,310,62800
37,38,1174,1411,1080,62870
111,112,1485,1787,800,62950
646,647,1393,1670,410,62960
847,848,1474,1745,970,63020
401,402,1480,1773,360,63020
705,706,1609,1924,1170,63050
827,828,1671,2024,620,63100
808,809,1496,1800,780,63300
550,551,2049,2465,720,63510
18,19,1438,1731,1030,63540
364,365,1124,1369,650,63540
854,855,1481,1789,550,63540
343,344,1145,1375,950,63590
518,519,1520,1817,850,63600
645,646,1368,1649,740,63660
98,99,1785,2147,820,63660
257,258,1025,1231,760,63720
151,152,1662,1986,70,63730
222,223,1251,1527,380,63830
672,673,1624,1958,290,63850
563,564,1212,1440,500,63950
506,507,1784,2142,950,64010
54,55,1570,1898,980,64090
668,669,1068,1278,440,64120
703,704,1791,2167,700,64320
291,292,902,1093,1210,64640
183,184,1702,2053,950,64670
715,716,1990,2384,1110,64690
115,116,1274,1503,660,64750
538,539,1622,1968,210,64780
284,285,1856,2216,1020,64820
235,236,1767,2110,1200,64950
481,482,1675,2002,1050,64990
699,700,1615,1928,660,65080
606,607,1289,1536,540,65120
105,106,1207,1434,690,65180
706,707,1495,1793,1020,65300
416,417,1440,1733,1120,65310
