,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
describe,Store ID ,Store_Area,Items_Available,Daily_Customer_Count,Store_Sales,,,,,,Description of Store sales from Store Area,,,,,,,,,,,Description of Store Sales from Items Available,,,,,,,,,,,,,,,,,,,,,
count,896,896,896,896,896,,,,,,Sum of Store_Sales,Column Labels,,,,,,,,,,Sum of Store_Sales,Column Labels,,,,,,,,,,,Sum of Store_Sales,Column Labels,,,,,,,,
mean,448.5,1485.409598,1782.035714,786.3504464,59351.3058,,,,,,Row Labels,250.237011,775,896,1316.75,1477,1485.409598,1653.5,2229,Grand Total,,Row Labels,299.8720525,896,932,1575.5,1773.5,1782.035714,1982.75,2667,Grand Total,,,Row Labels,10,265.3892808,600,780,786.3504464,896,970,1560,Grand Total
std,258.7972179,250.237011,299.8720525,265.3892808,17190.74189,,,,,,0.25,,,,46530,,,,,46530,,0.25,,,,46530,,,,,46530,,,0.25,,,46530,,,,,,46530
min,1,775,932,10,14920,,,,,,0.5,,,,,58605,,,,58605,,0.5,,,,,58605,,,,58605,,,0.5,,,,58605,,,,,58605
25%,224.75,1316.75,1575.5,600,46530,,,,,,0.75,,,,,,,71872.5,,71872.5,,0.75,,,,,,,71872.5,,71872.5,,,0.75,,,,,,,71872.5,,71872.5
50%,448.5,1477,1773.5,780,58605,,,,,,count,,,896,,,,,,896,,count,,896,,,,,,,896,,,count,,,,,,896,,,896
75%,672.25,1653.5,1982.75,970,71872.5,,,,,,max,,,,,,,,116320,116320,,max,,,,,,,,116320,116320,,,max,,,,,,,,116320,116320
max,896,2229,2667,1560,116320,,,,,,mean,,,,,,59351.3058,,,59351.3058,,mean,,,,,,59351.3058,,,59351.3058,,,mean,,,,,59351.3058,,,,59351.3058
,,,,,,,,,,,min,,14920,,,,,,,14920,,min,,,14920,,,,,,14920,,,min,14920,,,,,,,,14920
,,,,,,,,,,,std,17190.74189,,,,,,,,17190.74189,,std,17190.74189,,,,,,,,17190.74189,,,std,,17190.74189,,,,,,,17190.74189
,,,,,,,,,,,Grand Total,17190.74189,14920,896,46530,58605,59351.3058,71872.5,116320,385685.5477,,Grand Total,17190.74189,896,14920,46530,58605,59351.3058,71872.5,116320,385685.5477,,,Grand Total,14920,17190.74189,46530,58605,59351.3058,896,71872.5,116320,385685.5477
