,Store ID ,Store_Area,Items_Available,Daily_Customer_Count,Store_Sales
385,386,1491,1800,980,75620
808,809,1496,1800,780,63300
387,388,1487,1801,890,51130
741,742,1502,1802,840,49730
294,295,1513,1803,970,57530
610,611,1513,1804,430,69190
143,144,1504,1805,540,48560
275,276,1517,1805,1040,41740
595,596,1498,1805,1270,82270
312,313,1494,1806,1450,43640
211,212,1488,1807,1030,70810
797,798,1536,1808,830,56380
198,199,1524,1808,460,62270
325,326,1510,1810,950,35230
633,634,1510,1810,730,39700
306,307,1523,1813,520,44960
773,774,1497,1815,700,59190
710,711,1502,1815,190,55980
518,519,1520,1817,850,63600
651,652,1533,1817,950,84360
747,748,1524,1819,1190,39970
846,847,1535,1819,540,59290
437,438,1513,1820,520,66020
684,685,1540,1820,310,82390
50,51,1514,1820,910,81820
460,461,1513,1821,690,42880
64,65,1544,1821,590,58660
357,358,1514,1822,670,48090
569,570,1511,1822,420,72410
636,637,1501,1822,590,49350
623,624,1508,1823,520,71290
679,680,1519,1823,1040,69210
319,320,1513,1825,980,75950
197,198,1504,1827,840,78230
395,396,1546,1829,380,27720
217,218,1525,1829,840,55820
889,890,1539,1829,650,46580
587,588,1553,1831,740,35680
584,585,1517,1831,610,30840
174,175,1527,1832,580,44090
74,75,1539,1833,650,84840
121,122,1525,1835,900,32770
522,523,1537,1836,670,39480
630,631,1505,1836,940,61730
435,436,1536,1836,990,52060
365,366,1514,1837,1130,36690
171,172,1539,1837,990,78470
489,490,1540,1838,570,43710
611,612,1529,1839,1000,50590
657,658,1525,1839,540,51310
473,474,1543,1840,450,36380
642,643,1534,1841,680,87930
552,553,1526,1842,690,39580
841,842,1528,1843,340,59820
712,713,1542,1844,680,51380
529,530,1554,1844,670,38530
251,252,1550,1845,700,61750
542,543,1546,1845,760,59070
505,506,1556,1846,760,72020
282,283,1533,1848,1070,56440
176,177,1536,1848,670,69450
241,242,1539,1848,750,47140
890,891,1549,1851,1220,70620
384,385,1554,1852,440,48120
206,207,1526,1853,660,49070
866,867,1565,1854,900,100900
152,153,1548,1855,670,85330
204,205,1540,1857,1020,58260
738,739,1526,1858,550,76200
81,82,1539,1858,1020,88910
6,7,1542,1858,1030,72240
742,743,1534,1858,860,88370
692,693,1548,1858,480,99480
816,817,1546,1860,670,73160
242,243,1557,1861,370,69940
632,633,1564,1869,1030,53370
527,528,1552,1869,710,78870
445,446,1556,1869,1000,33010
277,278,1572,1869,1030,21750
308,309,1550,1871,590,74320
781,782,1549,1871,740,74080
597,598,1563,1872,1080,68420
209,210,1575,1872,690,52270
790,791,1574,1876,620,56230
362,363,1571,1877,580,54670
786,787,1561,1877,790,56790
775,776,1537,1877,660,17670
108,109,1573,1878,650,23740
346,347,1577,1879,760,86710
51,52,1565,1880,1300,57830
765,766,1562,1881,740,54530
383,384,1555,1881,1260,91360
693,694,1560,1883,1040,83220
83,84,1572,1884,1410,42670
300,301,1578,1885,220,68850
577,578,1586,1886,660,50060
627,628,1545,1888,600,67110
310,311,1566,1889,610,56400
303,304,1577,1892,560,74730
822,823,1588,1892,540,57750
405,406,1613,1893,1180,46030
717,718,1582,1894,1100,41800
607,608,1581,1894,760,49380
639,640,1580,1895,720,54950
677,678,1591,1896,780,78130
403,404,1576,1896,750,56450
351,352,1584,1897,1210,47310
54,55,1570,1898,980,64090
99,100,1579,1899,1140,41190
216,217,1575,1899,840,66270
273,274,1617,1901,490,60770
805,806,1577,1902,910,54060
177,178,1605,1902,390,73120
137,138,1581,1905,810,62280
853,854,1582,1906,550,92640
501,502,1588,1906,450,46970
16,17,1578,1907,1440,77250
252,253,1583,1907,680,21830
215,216,1604,1909,370,33730
539,540,1607,1909,460,39030
891,892,1582,1910,1080,66390
637,638,1593,1911,580,43340
90,91,1590,1912,830,65350
301,302,1585,1916,1110,50740
812,813,1597,1918,1260,71830
429,430,1612,1918,580,61000
470,471,1611,1919,960,71240
862,863,1591,1919,640,52340
634,635,1568,1920,890,53750
537,538,1601,1920,600,61000
156,157,1613,1921,1200,72800
221,222,1620,1922,550,33740
705,706,1609,1924,1170,63050
254,255,1604,1925,670,54370
113,114,1607,1927,940,45080
699,700,1615,1928,660,65080
826,827,1609,1928,160,37920
586,587,1609,1930,740,76470
594,595,1612,1931,790,60060
13,14,1615,1931,1160,59130
653,654,1607,1933,930,81260
541,542,1633,1936,1320,46050
838,839,1638,1937,1050,70940
546,547,1614,1938,1110,53230
766,767,1596,1939,960,79760
180,181,1612,1939,840,74250
461,462,1618,1940,630,44240
68,69,1631,1941,650,33430
179,180,1626,1941,1350,58090
28,29,1642,1943,710,78100
430,431,1618,1943,460,47620
407,408,1625,1943,680,74520
494,495,1609,1943,920,40300
617,618,1622,1944,360,75970
608,609,1608,1945,760,37830
309,310,1614,1946,740,73800
593,594,1624,1946,870,20270
380,381,1599,1946,940,78090
713,714,1631,1947,670,84410
599,600,1619,1947,910,74330
516,517,1627,1948,890,32610
329,330,1640,1948,960,51270
15,16,1644,1950,790,78870
342,343,1638,1952,690,81840
328,329,1615,1954,760,41080
75,76,1635,1956,720,82070
698,699,1655,1956,800,47350
333,334,1619,1957,1280,45580
695,696,1645,1958,530,93360
680,681,1637,1958,760,59940
672,673,1624,1958,290,63850
444,445,1628,1959,890,71480
867,868,1648,1959,370,77080
0,1,1659,1961,530,66490
817,818,1608,1962,770,36280
224,225,1647,1962,800,70020
153,154,1649,1963,490,27410
760,761,1645,1963,900,47300
274,275,1631,1967,1090,69600
523,524,1622,1968,340,69610
538,539,1622,1968,210,64780
331,332,1633,1968,330,81470
136,137,1638,1972,810,60940
334,335,1624,1973,1440,44660
249,250,1641,1976,620,46050
751,752,1660,1979,480,75800
532,533,1642,1981,720,54450
857,858,1653,1982,390,79410
194,195,1652,1982,690,52460
47,48,1660,1982,910,62530
187,188,1660,1985,1180,42860
151,152,1662,1986,70,63730
886,887,1655,1986,1150,77430
212,213,1658,1988,370,71530
759,760,1655,1993,440,86890
135,136,1667,1993,740,42840
733,734,1659,1999,650,65660
732,733,1641,1999,950,93000
341,342,1678,1999,740,46650
189,190,1666,2000,480,39730
673,674,1658,2000,350,36210
42,43,1665,2001,730,67640
481,482,1675,2002,1050,64990
245,246,1657,2003,1070,58540
256,257,1648,2003,910,82930
313,314,1659,2008,620,35120
809,810,1679,2008,790,84300
835,836,1651,2009,1000,58160
671,672,1685,2010,990,62380
612,613,1677,2014,660,60800
449,450,1685,2015,1160,79220
598,599,1664,2016,830,59130
119,120,1682,2017,780,49390
752,753,1648,2017,930,81720
70,71,1692,2019,850,56650
660,661,1667,2020,980,66070
510,511,1678,2022,1050,66050
875,876,1691,2023,540,60270
827,828,1671,2024,620,63100
872,873,1690,2024,1070,75930
379,380,1691,2026,700,60530
267,268,1701,2030,830,60140
106,107,1692,2031,810,69310
178,179,1704,2032,590,48300
708,709,1693,2032,610,41910
578,579,1701,2034,660,62180
521,522,1688,2037,590,50960
819,820,1716,2038,410,44400
141,142,1688,2042,760,73080
427,428,1709,2042,430,33240
78,79,1720,2044,960,38660
396,397,1689,2044,1140,32260
17,18,1703,2045,670,38170
60,61,1704,2045,300,71300
482,483,1688,2046,380,53550
117,118,1712,2046,460,31180
663,664,1717,2048,700,78530
127,128,1718,2051,750,49210
65,66,1707,2052,920,69130
582,583,1710,2053,730,69390
183,184,1702,2053,950,64670
227,228,1699,2053,1080,81870
208,209,1703,2055,1080,37830
400,401,1718,2056,1220,83600
